Name,Lat,Long
SAINT CLARE SCHOOL FOR SPECIAL EDUCATION,1.34979377451891,103.770731231371
SAN YU ADVENTIST SCHOOL,1.32183256403615,103.841037679537
SCHOOL OF MUSIC AND THE ARTS,1.29145525906521,103.857007341008
SCIENCE ARTS TCM COLLEGE,1.32901901364903,103.873531612372
SDH INSTITUTE,1.2745078714975,103.8457102267
SEA CODING ACADEMY,1.30607515502332,103.831003331344
SEIMPI ACADEMY,1.30197804535196,103.839758893918
MDIS COLLEGE,1.29738836353652,103.800729037365
VICTORIA EDUHUB,1.31893132188883,103.894482927872
COLLEGE OF ALLIED EDUCATORS,1.28450252606684,103.849913044135
COSMOPROF ACADEMY,1.30212202415876,103.849511319838
COUNSELLING AND CARE CENTRE,1.28496278900306,103.845618263653
CSM ACADEMY INTERNATIONAL,1.31488722697183,103.882616159909
CURTIN EDUCATION CENTRE,1.32715142672469,103.854506956954
DAS ACADEMY,1.30675739222705,103.847809941898
DIGIPEN INSTITUTE OF TECHNOLOGY SINGAPORE,1.30797570094762,103.777733051776
DIMENSIONS INTERNATIONAL COLLEGE,1.36302866971427,103.882467307642
DPS INTERNATIONAL SCHOOL,1.35444280956099,103.883467852681
DULWICH COLLEGE (SINGAPORE),1.35148188432226,103.73838601907
INLINGUA SCHOOL OF LANGUAGES,1.30289720484193,103.840025092306
INSPIRATION DESIGN INTERNATIONAL SCHOOL,1.28263820417721,103.818526584739
INSPIRE EDUCATION CENTRE,1.3043259893264,103.904051128937
INSTITUTE OF ARTS AND SCIENCES,1.27944364382356,103.848873122154
EHL CAMPUS (SINGAPORE),1.28415740589401,103.846702684575
SJTU ASIA-PACIFIC GRADUATE INSTITUTE,1.34676465089635,103.678818138199
WINDSOR MANAGEMENT COLLEGE,1.31666850389983,103.902213585766
YMCA EDUCATION CENTRE,1.29761036499603,103.848104793698
YUVABHARATHI INTERNATIONAL SCHOOL,1.32930503750406,103.723327049964
ZESPRION SCHOOL OF LEARNING,1.32628501338309,103.846037419707
STAMFORD AMERICAN INTERNATIONAL SCHOOL,1.33748688474137,103.868286385312
STEi INSTITUTE,1.29926179855405,103.852615495944
STRATE SCHOOL OF DESIGN,1.29876171593827,103.853379709661
SUCCESS.NAT INTERNATIONAL INSTITUTE,1.34841857575602,103.943725854183
SWISS SCHOOL IN SINGAPORE,1.34298223125423,103.790430988657
ORITA SINCLAIR SCHOOL OF DESIGN AND MUSIC,1.29602158963435,103.815244593194
OVERSEAS FAMILY SCHOOL,1.38039456996739,103.941390805364
CEREALTECH SCHOOL OF BAKING TECHNOLOGY,1.44980023045478,103.806326780097
Service Quality Centre,1.2990223229127,103.846761197309
SFA EDUHEARTS INTERNATIONAL SCHOOL,1.3222491437518,103.918192951468
SHATEC INSTITUTES,1.34389361408399,103.750034977568
SHELTON COLLEGE INTERNATIONAL,1.27427128694345,103.820236173751
SHRI ACADEMY,1.31893132188883,103.894482927872
SHRM COLLEGE,1.29621150519644,103.8435737004
SINGA COLLEGE OF BUILT ENVIRONMENT,1.35354870244777,103.833364433543
SINGAPORE AMERICAN SCHOOL,1.42538307162007,103.774421283987
SINGAPORE CHINESE CHAMBER INSTITUTE OF BUSINESS,1.29222075715172,103.850612613649
SINGAPORE COLLEGE OF INSURANCE,1.29559486379496,103.858968209478
SINGAPORE INSTITUTE OF MANAGEMENT,1.32919199753706,103.775701066782
SINGAPORE INSTITUTE OF MATERIALS MANAGEMENT,1.32809496059268,103.845528858476
APRO TRAINING CENTRE,1.33590457478914,103.744636423955
OLYMPIAD INTERNATIONAL SCHOOL,1.34963982667396,103.880190197747
INTERNATIONAL COMPLIANCE TRAINING ACADEMY,1.27775277981253,103.848428855435
CANADIAN INTERNATIONAL SCHOOL,1.34569489103208,103.727193107111
CAPELLE ACADEMY,1.31945232696276,103.892134996908
ELECTRONICS INDUSTRIES TRAINING CENTRE,1.37717287273149,103.864302269296
EMERITUS INSTITUTE OF MANAGEMENT,1.27306802555824,103.844968724915
JURONG ACADEMY,1.3338624626925,103.738708275824
NANYANG INSTITUTE OF MANAGEMENT,1.28886291658685,103.846555998876
NANYANG ACADEMY OF FINE ARTS,1.29946332963088,103.851185944181
5 STEPS ACADEMY,1.27692434095606,103.838680473574
A & M WILKINSON SCHOOL OF MUSIC & DRAMA,1.29878752201262,103.851967012757
AAARYA BUSINESS COLLEGE,1.3018917424397,103.864140682223
MANAGEMENT DEVELOPMENT INSTITUTE OF SINGAPORE,1.29738836353652,103.800729037365
Marketing Institute of Singapore Business School,1.2745078714975,103.8457102267
SPRING COLLEGE INTERNATIONAL,1.33375343199035,103.739371389964
SSTC INSTITUTE,1.31139349348481,103.856487116994
ST AEROSPACE ACADEMY,1.41690176996563,103.862850409681
GEMS WORLD ACADEMY (SINGAPORE),1.4241789757805,103.850354899582
INFORMATICS ACADEMY,1.29748975310199,103.853942302347
ST FRANCIS METHODIST SCHOOL,1.36144207531175,103.76783419224
ST.HUA PRIVATE SCHOOL,1.33472214382377,103.740041228689
ST.JOSEPHS INSTITUTION INTERNATIONAL ELEMENTARY SCHOOL,1.33350926505496,103.840947184268
STALFORD ACADEMY,1.30974241289377,103.864101648717
KAPLAN LEARNING INSTITUTE,1.30010844675228,103.849264284406
ZHICHENG PRIVATE SCHOOL,1.30381323183918,103.900952087099
CAPITAL COLLEGE OF MANAGEMENT AND TECHNOLOGY,1.30390389068981,103.851447991526
THE WALDORF STEINER SCHOOL,1.32586148330396,103.916360821734
THE YPLS SCHOOL OF LEARNING,1.33296549107728,103.847050355594
ACADEMIES AUSTRALASIA COLLEGE,1.29712186403834,103.855308257773
ACADEMY FOR CORPORATE MANAGEMENT,1.30145298411228,103.85449518703
ACADEMY OF HUMAN DEVELOPMENT,1.29702264276869,103.855388119498
ACC INSTITUTE OF HUMAN SERVICES,1.30289720484193,103.840025092306
AccTrain Academy,1.30034766822374,103.851046128689
ADDISON INSTITUTE,1.30107053315441,103.849176271631
ADVANCE SUPPLY CHAIN TRAINING CENTRE,1.2745078714975,103.8457102267
AESTHETICS INTERNATIONAL ACADEMY,1.29115683496915,103.851044283043
AIR TRANSPORT TRAINING COLLEGE,1.41198492589418,103.869046201572
ALLIANCE FRANCAISE DE SINGAPOUR,1.31425501491267,103.836931083824
ALLSPICE INSTITUTE,1.28383730061235,103.817466083121
INTERCULTURAL THEATRE INSTITUTE,1.30332196067521,103.84864102983
BMC INTERNATIONAL COLLEGE,1.33472490438726,103.73932126848
BOOKKEEPING COLLEGE,1.28074833067945,103.842463401205
BOSTON BUSINESS SCHOOL,1.29869824762248,103.856036160702
BRITISH COUNCIL (SINGAPORE),1.30506986680049,103.821462815723
BRITISH EDUCATION CENTRE,1.2801881576095,103.846828461106
CAMFORD INTERNATIONAL COLLEGE,1.28413390917012,103.842519572814
CHATSWORTH MEDI@RT ACADEMY,1.28929244789127,103.844167638084
ERC INSTITUTE,1.30746518260302,103.881270810334
NATC INSTITUTE,1.30633628345045,103.854245526933
NEW CAMBRIDGE EDUCATION CENTRE,1.30917207441238,103.894349787251
NEWCASTLE RESEARCH & INNOVATION INSTITUTE,1.33590457478914,103.744636423955
INTERNATIONAL COLLEGE OF HOLISTIC HEALTH,1.31475209101512,103.891451311398
INTERNATIONAL COMMUNITY SCHOOL (SINGAPORE),1.30705154479452,103.766293476241
MELBOURNE SPECIALIST INTERNATIONAL SCHOOL,1.30167215610773,103.812399642784
